,question,CHAPTER,CLASS,CUSTOM,TOPIC,SUBJECT,BLOOM_TAXONOMY,CURRICULUM
24246,"<p>Identify disproportionation reaction.<br>a)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn>&nbsp;<msub><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<msup><mrow><mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;</mrow></msup><mo stretchy=""false"">→</mo>&nbsp;<msubsup><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;</mrow></msubsup><mo>+</mo>&nbsp;<msubsup><mrow><mi mathvariant=""normal"">N</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>3</mn>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;</mrow></msubsup><mo>+</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow></math><br>b)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn>&nbsp;<msub><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">F</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<msup><mrow><mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;</mrow></msup><mo stretchy=""false"">→</mo>&nbsp;<mn>2</mn>&nbsp;<msup><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">F</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">F</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mo>+</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow></math><br>c)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub><mo>+</mo>&nbsp;<mn>4</mn>&nbsp;<msub><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mo stretchy=""false"">→</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub><mo>+</mo>&nbsp;<mn>4</mn>&nbsp;<mrow><mi mathvariant=""normal"">H</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow></math><br>d)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>4</mn>&nbsp;</mrow></msub><mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mo stretchy=""false"">→</mo>&nbsp;<msub><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<msub><mrow><mi mathvariant=""normal"">H</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;</mrow></msub><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow></math></p>",redox reactions,11,NCERT Exemplar,,Chemistry,Remebering,CBSE
79014,<p>The molecular formula of sodium hydrogen phosphate is:</p>,Chemical Bonding and Molecular Structure,12,NEET Exam,,Chemistry,Understanding,JEE Main
61482,<p>Which is the correct order of solubility in water?</p>,Chemical Bonding and Molecular Structure,12,NEET,,Chemistry,Understanding,NEET
51904,<p>o) Which festival is known as a festival of light?</p>,Festivals,3,NCERT,,Social Science,Remebering,CBSE
61301,"<p>What will be the molality of the solution containing&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>18.25</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow></math>of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">H</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">l</mi>&nbsp;</mrow></math>gas in&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>500</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow></math>of water?</p>",some basic concepts of chemistry,12,NEET Exam,,Chemistry,Understanding,NEET
12265,"<p>The function&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">f</mi>&nbsp;</mrow><mo stretchy=""false"">(</mo>&nbsp;<mrow><mi mathvariant=""normal"">x</mi>&nbsp;</mrow><mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mrow><mi mathvariant=""normal"">x</mi>&nbsp;</mrow><mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mo>+</mo>&nbsp;<mrow><mo stretchy=""false"">|</mo>&nbsp;</mrow><mrow><mi mathvariant=""normal"">x</mi>&nbsp;</mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;<mo stretchy=""false"">|</mo>&nbsp;</math>is</p>",Continuity ,12,mcq,,,,
102648,<p>What do you mean by 'rural urban composition'?</p>,Population Composition ,12,NCERT,,Geography,Remebering,CBSE
66135,"<p>Read the passage given below and answer the questions that follow:<br>Cash or kind?<br>The Ain on land revenue collection: Let him (the amil-guzar) not make it a practice of taking only in cash but also in kind. The latter is effected in several ways. First, kankut : in the Hindi language kan signifies grain, and kut estimates ... If any doubt arises, the crops should be cut and estimated in three lots, the good, the middling, and the inferior, and the hesitation removed. Often, too, the land taken by appraisement gives a sufficiently accurate return. Secondly, batai, also called bhaoli, the crops are reaped and stacked and divided by agreement in the presence of the parties. But in this case, several intelligent inspectors are required; otherwise, the evil-minded and false are given to deception. Thirdly, khet-batai, when they divide the fields after they are sown. Fourthly, lang batai, after cutting the grain, they form it in heaps and divide it among themselves, and each takes his share home and turns it to profit.<br>Questions:<br>i. Write the name of any four land revenue system.<br>ii. What was Kankut?<br>iii. Which system of land revenue is best and why?</p>",Peasant Zamindars and state,12,ncert,,History,Understanding,CBSE
52174,<p>Match the following:</p>,Grammar-Question tags,3,NCERT,,English,Understanding,CBSE
79985,"<ol><li>Solve for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;<mo>:</mo>&nbsp;<msub><mi>log</mi>&nbsp;<mrow><mn>10</mn>&nbsp;</mrow></msub><mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;<mo>=</mo>&nbsp;<mo>−</mo>&nbsp;<mn>2</mn>&nbsp;</math>.</li></ol>",Logarithms,9,,,Mathematics,Remebering,ICSE
68441,<p>Discuss the progress of the Quit India Movement. What was its importance in the history of the national movement for independence in India?</p>,Mahatma Gandhi and the Nationalist Movement,12,ncert,,History,Understanding,CBSE
44745,<p>1</p>,Amines,11,jee mains,,Chemistry,Understanding,JEE Main
66994,<p>Define the term transport. Describe any four features of highways of North America.</p>,Term 2 - Ch08 Transport and Communication,12,NCERT,,Geography,Applying,CBSE
61162,<ol><li>Explain the meaning of the term Sannidhata.</li></ol>,King Farmers and towns,12,ncert,,History,Understanding,CBSE
72601,<ol><li>Which of the following is planar?</li></ol>,The p block elements- part 2 ,12,NEET Exam,,Chemistry,Understanding,JEE Main
42859,<ol><li>An azeotropic solution of two liquids has boiling point lower than either of them when it<br>a) is saturated<br>b) shows positive deviation from Raoult's law<br>c) shows no deviation from Raoult 's law<br>d) shows negative deviation from Raoult's law</li></ol>,solutions,12,jee mains,,Chemistry,Understanding,JEE Main
56681,"<p>Calculate the equilibrium constant of the reaction:&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">u</mi>&nbsp;</mrow><mo stretchy=""false"">(</mo>&nbsp;<mrow><mi mathvariant=""normal"">s</mi>&nbsp;</mrow><mo stretchy=""false"">)</mo>&nbsp;<mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<msup><mrow><mi mathvariant=""normal"">A</mi>&nbsp;<mi mathvariant=""normal"">g</mi>&nbsp;</mrow><mrow><mo>+</mo>&nbsp;</mrow></msup><mo stretchy=""false"">(</mo>&nbsp;<mrow><mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">q</mi>&nbsp;</mrow><mo stretchy=""false"">)</mo>&nbsp;<mo stretchy=""false"">⟶</mo>&nbsp;<msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">u</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;<mo>+</mo>&nbsp;</mrow></msup><mo stretchy=""false"">(</mo>&nbsp;<mrow><mi mathvariant=""normal"">a</mi>&nbsp;<mi mathvariant=""normal"">q</mi>&nbsp;</mrow><mo stretchy=""false"">)</mo>&nbsp;<mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<mrow><mi mathvariant=""normal"">A</mi>&nbsp;<mi mathvariant=""normal"">g</mi>&nbsp;</mrow><mo stretchy=""false"">(</mo>&nbsp;<mrow><mi mathvariant=""normal"">s</mi>&nbsp;</mrow><mo stretchy=""false"">)</mo>&nbsp;</math><math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mi>E</mi>&nbsp;<mrow><mtext>cell&nbsp;</mtext></mrow><mrow><mi>θ</mi>&nbsp;</mrow></msubsup><mo>=</mo>&nbsp;<mn>0.46</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">V</mi>&nbsp;</mrow></math></p>",Electrochemistry,12,NCERT EXEMPLAR,,Chemistry,Understanding,CBSE
26337,"<ol><li><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi>&nbsp;</math>is the probability of finding the 1 s electron of a hydrogen atom in a spherical shell of infinitesimal thickness,&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">d</mi>&nbsp;<mi mathvariant=""normal"">r</mi>&nbsp;</mrow></math>, at a distance&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>r</mi>&nbsp;</math>from the nucleus. The volume of this shell is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn>&nbsp;<mi>π</mi>&nbsp;<msup><mi>r</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">d</mi>&nbsp;</mrow><mi>r</mi>&nbsp;</math>. The qualitative sketch of the dependence of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi>&nbsp;</math>on&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>r</mi>&nbsp;</math>is</li></ol>", Structure of Atom ,11,jee mains,,Chemistry,Understanding,JEE Main
57282,<ol><li>What is the importance of Mass Communication?</li></ol>,Means of Communication,5,NCERT,,Social Science,Understanding,CBSE
42831,"<p>State true or false:<br>The sum of the place values of the digits in the number 8721433 is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>8721433</mn>&nbsp;<mo>.</mo></math></p>",Number System ,4,NCERT,,Mathematics,Remebering,CBSE
47087,<p>Centrifugal xylem is feature of:</p>,Anatomy of flowering plants,11,NEET,,Biology,Understanding,NEET
49523,<p>Choose the answer to the question after arranging the letters.<br>What can we sing?<br>'GONSS'</p>, Grammar-Preposition,4,NCERT,,English,Remebering,CBSE
67610,<p>What was the role of Tatia Tope in the 1857 mutiny?<br>i. He was commander-in-chief of the army of Nana Saheb<br>ii. He organized Bhils of Panchamahal region against the British<br>iii. Both (i) and (ii)<br>iv. Neither (i) nor (ii)</p>,Rebels and the Raj,12,ncert,,History,Remebering,CBSE
77101,<ol><li>Explain thoughts of Mahatma Gandhi in context of development.</li></ol>,India Human Development,12,NCERT,,Geography,Understanding,CBSE
18031,<p>What name is given to those sexual characteristics in humans: (a) which are present in babies at birth? (b) which develop in mature boys and girls?</p>,Reaching The Age Of Adolescence,8,Lakhmir singh solutions,,,,
56713,<p>How did the towns grow again after the fall of Roman Empire?</p>,The Three Orders,11,NCERT,,History,Understanding,CBSE
36835,"<p>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo data-mjx-texclass=""OP"">∫</mo>&nbsp;<mfrac><mrow><mi>sec</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;</mrow><mrow><mi>log</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>sec</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mi>tan</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</mrow></mfrac><mrow><mi mathvariant=""normal"">d</mi>&nbsp;<mi mathvariant=""normal"">x</mi>&nbsp;</mrow><mo>=</mo>&nbsp;<mrow><mi mathvariant=""normal"">f</mi>&nbsp;</mrow><mo stretchy=""false"">(</mo>&nbsp;<mrow><mi mathvariant=""normal"">x</mi>&nbsp;</mrow><mo stretchy=""false"">)</mo>&nbsp;<mo>+</mo>&nbsp;<mrow><mi mathvariant=""normal"">c</mi>&nbsp;</mrow></math>. Then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<mfrac><mi>π</mi>&nbsp;<mn>4</mn>&nbsp;</mfrac><mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow></math>is</p>",Indefinite Integrals,12,jee mains,,Mathematics,Understanding,JEE Main
36654,"<ol><li>Let&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>g</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>1</mn>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>h</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>2</mn>&nbsp;</math>such that&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>h</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>f</mi>&nbsp;<mi>o</mi>&nbsp;<mi>g</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>, then the area enclosed by the curve&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi>&nbsp;<mo>=</mo>&nbsp;<mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>and the pair of tangents drawn to it from the origin, is:</li></ol>",Application of Integrals,12,jee mains,,Mathematics,Understanding,JEE Main
74187,<p>Distinguish between Arithmetic density and Physiological density of population.</p>,India Population,12,NCERT,,Geography,Understanding,CBSE
101348,"<p>A stone resting on the ground has a gravitational force of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>20</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">N</mi>&nbsp;</mrow></math>acting on it. What is the weight of the stone? What is its mass?</p>",Gravitation,9,Lakhmir,,Physics,,CBSE
97455,<p>What is the difference between leucoderma and albinism?</p>,Skin – The Jack Of All Trades,9,Selina,,Biology,,ICSE
88520,"<ol><li>Assertion: Light from an object falls on a concave mirror forming a real image of the object. If both the object and mirror are immersed in water, there is no change in the position of image.<br>Reason: The formation of image by reflection does not depend on surrounding medium, there is no change in position of image provided it is also formed in water.</li></ol>",Ray Optics and Optical,12,NEET,,Physics,Applying,NEET
86894,"<p>Using binomial theorem, write down the expressions of the following:<br><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mn>2</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>3</mn>&nbsp;<mi>y</mi>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>5</mn>&nbsp;</mrow></msup></math></p>",Binomial theorem,11,RD Sharma,,Mathematics,,CBSE
79748,<p>Distilled water does not conduct electricity. What substances can be added to distilled .water in small amounts to make it a good conductor of electricitv? Whv?</p>,Chemical effects of electric current,8,,,Science,,CBSE
2997,"<p>Find the mean deviation about the median for the data:<br />
<br />
1. <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>13</mn><mo>,</mo><mn>17</mn><mo>,</mo><mn>16</mn><mo>,</mo><mn>14</mn><mo>,</mo><mn>11</mn><mo>,</mo><mn>13</mn><mo>,</mo><mn>10</mn><mo>,</mo><mn>16</mn><mo>,</mo><mn>11</mn><mo>,</mo><mn>18</mn><mo>,</mo><mn>12</mn><mo>,</mo><mn>17</mn></mrow><annotation encoding=""application/x-tex"">13,17,16,14,11,13,10,16,11,18,12,17</annotation></semantics></math><br />
<br />
2. <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>36</mn><mo>,</mo><mn>72</mn><mo>,</mo><mn>46</mn><mo>,</mo><mn>42</mn><mo>,</mo><mn>60</mn><mo>,</mo><mn>45</mn><mo>,</mo><mn>53</mn><mo>,</mo><mn>46</mn><mo>,</mo><mn>51</mn><mo>,</mo><mn>49</mn></mrow><annotation encoding=""application/x-tex"">36,72,46,42,60,45,53,46,51,49</annotation></semantics></math></p>
",Statistics,11,Mathematics NCERT ,Mean Deviation,,,
16200,"<p>The fraction&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>17</mn>&nbsp;<mrow><mo>/</mo>&nbsp;</mrow><mn>34</mn>&nbsp;</math>in simplest form is</p>",Fractions and Decimals,6,Ncert exemplar solutions,,,,
8663,"<p>Solve the following for <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>x</mi><annotation encoding=""application/x-tex"">x</annotation></semantics></math><br />
<math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mrow><mo stretchy=""true"" form=""prefix"">[</mo><mtable><mtr><mtd columnalign=""left""><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>3</mn><mi>x</mi><mo>+</mo><mn>4</mn></mtd></mtr><mtr><mtd columnalign=""left""><mn>24</mn><mi>x</mi><mo>−</mo><mn>2</mn><mi>y</mi><mo>−</mo><mi>z</mi></mtd></mtr></mtable><mo stretchy=""true"" form=""postfix"">]</mo></mrow><mo>=</mo><mrow><mo stretchy=""true"" form=""prefix"">[</mo><mtable><mtr><mtd columnalign=""left""><mn>2</mn></mtd></mtr><mtr><mtd columnalign=""left""><mn>4</mn></mtd></mtr></mtable><mo stretchy=""true"" form=""postfix"">]</mo></mrow></mrow><annotation encoding=""application/x-tex"">\left[\begin{array}{l}2 x^{2}+3 x+4 \\ 24 x-2 y-z\end{array}\right]=\left[\begin{array}{l}2 \\ 4\end{array}\right]</annotation></semantics></math></p>
",Introduction,,Matrices,,,,
47189,<ol><li>The diacetyl derivative of morphine is</li></ol>,Chemistry in everyday life,11,jee mains,,Chemistry,Understanding,JEE Main
18329,<p>How will you charge a ballpoint pen refill by the method of friction?</p>,Some Natural Phenomena,8,Lakhmir singh solutions,,,,
